tailnum,type,manufacturer,issue_date,model,status,aircraft_type,engine_type,year
N305US,Corporation,AIRBUS INDUSTRIE,1989-08-01,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1989
N306AS,Corporation,BOEING,2001-05-24,737-990,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2001
N306AW,Corporation,BOEING,2006-02-28,737-3G7,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1990
N306SW,Corporation,BOEING,1985-10-11,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
N306UA,Corporation,BOEING,1987-02-19,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N307AS,Corporation,BOEING,2001-05-30,737-990,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2001
N307AT,Corporation,BOEING,2006-12-05,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
N307AW,Corporation,BOEING,2005-09-28,737-3G7,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1990
N307SW,Corporation,BOEING,2005-06-27,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
N307UA,Corporation,BOEING,1987-03-10,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N308AT,Corporation,BOEING,2006-12-13,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
N308AW,Corporation,BOEING,2005-09-28,737-3G7,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1990
N308SA,Corporation,BOEING,1999-03-30,737-3Y0,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
N308SW,Corporation,EMBRAER,2005-12-05,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1997
N308UA,Corporation,BOEING,1987-03-27,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N309AS,Corporation,BOEING,2001-07-30,737-990,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2001
N309AT,Corporation,BOEING,2007-01-24,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
N309AW,Corporation,BOEING,2005-09-28,737-3G7,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1990
N309SW,Corporation,BOEING,2005-06-27,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
N309UA,Corporation,BOEING,1987-04-16,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N309US,Corporation,AIRBUS INDUSTRIE,2006-05-23,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1990
N310NW,Corporation,AIRBUS INDUSTRIE,2006-05-23,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1990
N310SW,Corporation,BOEING,1986-01-13,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
N310UA,Corporation,BOEING,1987-05-12,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N31131,Corporation,EMBRAER,2003-04-09,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N311AT,Corporation,BOEING,2007-02-01,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
N311AW,Corporation,BOEING,2006-02-28,737-3G7,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1990
N311SW,Corporation,BOEING,1986-03-21,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
N311UA,Corporation,BOEING,1988-01-14,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N311US,Corporation,AIRBUS INDUSTRIE,1990-11-13,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1990
N312AT,Corporation,BOEING,2007-02-06,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
N312SW,Corporation,BOEING,1986-03-24,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
N312UA,Corporation,BOEING,2004-06-21,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N312US,Corporation,AIRBUS INDUSTRIE,2004-10-20,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1990
N313AT,Corporation,BOEING,2007-02-09,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
N313AW,Corporation,BOEING,1990-11-07,737-3S3,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N313SW,Corporation,BOEING,1986-03-27,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
N313UA,Corporation,BOEING,1988-01-14,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N313US,Corporation,AIRBUS INDUSTRIE,2004-09-21,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1990
N31412,Corporation,BOEING,2002-04-16,737-924,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N314AW,Corporation,BOEING,1990-11-21,737-3S3,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N314NB,Corporation,AIRBUS INDUSTRIE,2000-03-20,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N314SW,Corporation,BOEING,1992-04-20,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
N314UA,Corporation,BOEING,1988-01-20,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N314US,Corporation,AIRBUS INDUSTRIE,2004-09-22,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1991
N315AS,Corporation,BOEING,2002-10-02,737-990,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2002
N315AT,Corporation,BOEING,2007-03-16,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
N315AW,Corporation,BOEING,1990-12-06,737-3S3,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N315NB,Corporation,AIRBUS INDUSTRIE,2000-05-22,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N315SW,Corporation,BOEING,1992-04-20,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
N315UA,Corporation,BOEING,1988-01-21,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N315US,Corporation,AIRBUS INDUSTRIE,2004-10-21,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1991
N316AT,Corporation,BOEING,2007-03-28,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
N316AW,Corporation,BOEING,1991-01-09,737-3S3,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N316NB,Corporation,AIRBUS INDUSTRIE,2000-06-16,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N316SW,Corporation,BOEING,1992-04-20,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
N316US,Corporation,AIRBUS INDUSTRIE,2004-10-21,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1991
N317AS,Corporation,BOEING,2003-03-27,737-990,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2003
N317AT,Corporation,BOEING,2007-03-15,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
N317CA,Corporation,BOMBARDIER INC,2007-12-20,CL-600-2C10,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N317NB,Corporation,AIRBUS INDUSTRIE,2000-09-29,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N317US,Corporation,AIRBUS INDUSTRIE,2004-10-21,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1991
N317WN,Corporation,BOEING,1999-04-02,737-3Q8,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N318AS,Corporation,BOEING,2003-06-02,737-990,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2003
N318AT,Corporation,BOEING,2007-04-18,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
N318NB,Corporation,AIRBUS INDUSTRIE,2000-09-26,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N318SW,Corporation,BOEING,2004-05-19,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
N318UA,Corporation,BOEING,1988-04-19,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N318US,Corporation,AIRBUS INDUSTRIE,2004-10-12,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1991
N319AA,Corporation,BOEING,2004-04-09,767-223,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
N319AS,Corporation,BOEING,2003-06-30,737-990,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2003
N319NB,Corporation,AIRBUS INDUSTRIE,2000-10-26,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N319US,Corporation,AIRBUS INDUSTRIE,2004-09-22,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1991
N320AA,Corporation,BOEING,2004-04-09,767-223,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
N320AS,Corporation,BOEING,2003-10-01,737-990,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2003
N320NB,Corporation,AIRBUS INDUSTRIE,2000-12-19,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N320US,Corporation,AIRBUS INDUSTRIE,2004-09-22,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1991
N321AA,Corporation,BOEING,1986-05-05,767-223,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
N321NB,Corporation,AIRBUS INDUSTRIE,2001-01-26,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N321US,Corporation,AIRBUS INDUSTRIE,1992-01-14,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1992
N322AA,Corporation,BOEING,1986-05-19,767-223,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
N322AW,Corporation,BOEING,2001-06-26,737-3G7,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1991
N322NB,Corporation,AIRBUS INDUSTRIE,2001-02-22,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N322SW,Corporation,BOEING,2008-01-30,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N322US,Corporation,AIRBUS INDUSTRIE,1992-01-15,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1992
N323AS,Corporation,BOEING,2004-02-26,737-990,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2004
N323NB,Corporation,AIRBUS INDUSTRIE,2001-03-15,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N323SW,Corporation,BOEING,1991-11-12,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N323US,Corporation,AIRBUS INDUSTRIE,1992-02-03,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1992
N32404,Corporation,BOEING,2001-07-20,737-924,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N324AA,Corporation,BOEING,1986-09-17,767-223,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
N324NB,Corporation,AIRBUS INDUSTRIE,2001-03-22,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N324SW,Corporation,BOEING,2004-05-19,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N324US,Corporation,AIRBUS INDUSTRIE,1992-02-11,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1992
N325AA,Corporation,BOEING,1986-12-24,767-223,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
N325NB,Corporation,AIRBUS INDUSTRIE,2001-04-26,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N325SW,Corporation,BOEING,2004-05-19,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N325UA,Corporation,BOEING,1988-09-08,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N325US,Corporation,AIRBUS INDUSTRIE,1992-03-02,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1992
N32626,Corporation,BOEING,1996-04-14,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1995
N326AT,Corporation,BOEING,2007-06-20,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
N326NB,Corporation,AIRBUS INDUSTRIE,2001-05-22,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N326SW,Corporation,BOEING,2004-10-14,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N326UA,Corporation,BOEING,2007-09-11,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N326US,Corporation,AIRBUS INDUSTRIE,1992-03-04,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1992
N327AA,Corporation,BOEING,1999-12-10,767-223,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
N327NB,Corporation,AIRBUS INDUSTRIE,2001-05-18,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N327NW,Corporation,AIRBUS INDUSTRIE,1992-04-01,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1992
N327SW,Corporation,BOEING,2004-10-26,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N327UA,Corporation,BOEING,2006-06-30,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N328AA,Corporation,BOEING,2004-04-09,767-223,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
N328NB,Corporation,AIRBUS INDUSTRIE,2001-06-14,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N328NW,Corporation,AIRBUS INDUSTRIE,1992-04-08,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1992
N328SW,Corporation,BOEING,1988-05-26,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N328UA,Corporation,BOEING,2006-07-14,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N329AA,Corporation,BOEING,2004-04-09,767-223,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N329AT,Corporation,BOEING,2007-07-18,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
N329NB,Corporation,AIRBUS INDUSTRIE,2001-07-19,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N329NW,Corporation,AIRBUS INDUSTRIE,1992-05-05,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1992
N329SW,Corporation,BOEING,1988-04-25,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N329UA,Corporation,BOEING,2006-07-27,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N330AT,Corporation,BOEING,2007-07-25,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
N330NB,Corporation,AIRBUS INDUSTRIE,2001-07-26,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N330NW,Corporation,AIRBUS INDUSTRIE,1992-05-07,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1992
N330SW,Corporation,BOEING,1988-04-13,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N330UA,Corporation,BOEING,2006-06-08,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N33103,Corporation,BOEING,1994-06-27,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1994
N33132,Corporation,BOEING,1998-07-01,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N33182,Corporation,EMBRAER,2005-04-27,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N331AT,Corporation,BOEING,2007-08-10,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
N331CA,Corporation,BOMBARDIER INC,2007-12-20,CL-600-2C10,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N331NW,Corporation,AIRBUS INDUSTRIE,1992-06-08,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1992
N331SW,Corporation,BOEING,2008-01-18,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N331UA,Corporation,BOEING,2006-06-08,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N33203,Corporation,BOEING,2000-06-22,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N33209,Corporation,BOEING,2000-09-01,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N3324L,Corporation,DOUGLAS,1994-12-02,DC-9-32,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1967
N33262,Corporation,BOEING,2001-07-27,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N33264,Corporation,BOEING,2001-08-14,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N33266,Corporation,BOEING,2001-08-30,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N33284,Corporation,BOEING,2004-03-30,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N33286,Corporation,BOEING,2004-05-24,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N33289,Corporation,BOEING,2004-07-30,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N33294,Corporation,BOEING,2005-08-23,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N332AA,Corporation,BOEING,1987-04-02,767-223,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N332AW,Corporation,BOEING,2001-06-20,737-3B7,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N332NB,Corporation,AIRBUS INDUSTRIE,2001-08-27,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N332NW,Corporation,AIRBUS INDUSTRIE,1992-06-11,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1992
N332SW,Corporation,BOEING,2003-05-14,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N332UA,Corporation,BOEING,2004-07-14,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N333NB,Corporation,AIRBUS INDUSTRIE,2001-09-24,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N333NW,Corporation,AIRBUS INDUSTRIE,1992-07-10,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1992
N333SW,Corporation,BOEING,2004-03-22,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N333UA,Corporation,BOEING,2004-07-14,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N334AW,Corporation,BOEING,1998-12-30,737-3Y0,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N334NB,Corporation,AIRBUS INDUSTRIE,2002-01-18,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N334NW,Corporation,AIRBUS INDUSTRIE,1992-09-01,A320-212,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1992
N334SW,Corporation,BOEING,1988-06-16,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N334UA,Corporation,BOEING,1988-12-01,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N335AA,Corporation,BOEING,1987-12-11,767-223,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N335NB,Corporation,AIRBUS INDUSTRIE,2002-01-24,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N335NW,Corporation,AIRBUS INDUSTRIE,2007-07-11,A320-212,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1992
N335SW,Corporation,BOEING,1988-06-18,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N335UA,Corporation,BOEING,1988-12-02,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N33608,Corporation,BOEING,1994-04-06,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1994
N336AA,Corporation,BOEING,1987-12-21,767-223,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N336AT,Corporation,BOEING,2008-02-15,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2008
N336NB,Corporation,AIRBUS INDUSTRIE,2002-02-21,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N336NW,Corporation,AIRBUS INDUSTRIE,2007-07-12,A320-212,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1992
N336SW,Corporation,BOEING,1988-06-18,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N336UA,Corporation,BOEING,2004-05-13,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N33714,Corporation,BOEING,1998-09-29,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N337AT,Corporation,BOEING,2008-03-18,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2008
N337NB,Corporation,AIRBUS INDUSTRIE,2002-02-25,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N337NW,Corporation,AIRBUS INDUSTRIE,2007-07-19,A320-212,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1992
N337SW,Corporation,BOEING,2004-03-22,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N337UA,Corporation,BOEING,2004-05-11,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N338AA,Corporation,BOEING,1988-01-19,767-223,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N338AT,Corporation,BOEING,2008-05-05,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2008
N338NB,Corporation,AIRBUS,2002-03-08,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N338NW,Corporation,AIRBUS INDUSTRIE,2004-09-13,A320-212,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1992
N338SW,Corporation,BOEING,2004-03-22,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N338UA,Corporation,BOEING,2004-05-12,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N339AA,Corporation,BOEING,1988-01-28,767-223,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N339NB,Corporation,AIRBUS,2002-03-27,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N339NW,Corporation,AIRBUS INDUSTRIE,2007-07-17,A320-212,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1992
N339SW,Corporation,BOEING,1998-09-26,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N339UA,Corporation,BOEING,2007-11-29,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N340CA,Corporation,BOMBARDIER INC,2007-12-28,CL-600-2C10,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N340LV,Corporation,BOEING,2003-08-07,737-3K2,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1987
N340NB,Corporation,AIRBUS,2002-04-04,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N340NW,Corporation,AIRBUS INDUSTRIE,2007-07-11,A320-212,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1992
N340UA,Corporation,BOEING,2007-11-28,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N34110,Corporation,EMBRAER,2003-06-25,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N34111,Corporation,EMBRAER,2003-06-25,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N34131,Corporation,BOEING,1998-06-10,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N34137,Corporation,BOEING,1999-11-30,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
N341NB,Corporation,AIRBUS,2002-05-09,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N341NW,Corporation,AIRBUS INDUSTRIE,2007-07-17,A320-212,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1992
N341SW,Corporation,BOEING,1998-09-26,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N341UA,Corporation,BOEING,1988-12-02,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N34222,Corporation,BOEING,1998-12-09,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N34282,Corporation,BOEING,2004-01-28,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N342NB,Corporation,AIRBUS,2002-05-30,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N342NW,Corporation,AIRBUS INDUSTRIE,2004-09-14,A320-212,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1993
N342SW,Corporation,BOEING,1999-05-01,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1989
N342UA,Corporation,BOEING,1988-11-28,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N343AA,Corporation,SIKORSKY,2003-12-05,S-76A,Valid,Rotorcraft,Turbo-Shaft,1979
N343NB,Corporation,AIRBUS,2002-06-14,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N343NW,Corporation,AIRBUS INDUSTRIE,2007-07-17,A320-212,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1993
N343SW,Corporation,BOEING,1999-05-03,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1989
N344AA,Corporation,GULFSTREAM AEROSPACE,2002-10-21,G-IV,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1992
N344AT,Corporation,BOEING,2008-05-19,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2008
N344NB,Corporation,AIRBUS,2002-06-27,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N344NW,Corporation,AIRBUS INDUSTRIE,2007-07-17,A320-212,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1993
N344SW,Corporation,BOEING,1999-05-03,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1989
N345AA,Corporation,GULFSTREAM AEROSPACE,1998-10-28,G-IV,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1992
N345NW,Corporation,AIRBUS INDUSTRIE,2007-07-19,A320-212,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1993
N345SA,Corporation,BOEING,2002-06-13,737-3K2,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1987
N346NB,Corporation,AIRBUS,2002-08-28,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N346SW,Corporation,BOEING,1999-04-30,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1989
N346UA,Corporation,BOEING,1989-01-04,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N347NB,Corporation,AIRBUS,2002-08-29,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N347NW,Corporation,AIRBUS INDUSTRIE,2007-07-19,A320-212,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1993
N347SW,Corporation,BOEING,1989-06-07,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1989
N347UA,Corporation,BOEING,1989-01-03,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N348NB,Corporation,AIRBUS,2002-09-23,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N348NW,Corporation,AIRBUS INDUSTRIE,2007-07-20,A320-212,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1993
